num,title,id,year,time,limit,img,rate,vote,url,douban
18,One Flew Over the Cuckoo's Nest,tt0073486,1975,2h 13m,R,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.7,1M,https://www.imdb.com/title/tt0073486,75
19,Spider-Man: Across the Spider-Verse,tt9362722,2023,2h 20m,PG,"https://m.media-amazon.com/images/M/MV5BYmU5ZTgwNWQtMGVhZS00OWI4LWJhOTgtMDQyNjdmYTQ0OGFiXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.7,259K,https://www.imdb.com/title/tt9362722,
20,Se7en,tt0114369,1995,2h 7m,R,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,6,140,207_.jpg",8.6,1.7M,https://www.imdb.com/title/tt0114369,94
21,It's a Wonderful Life,tt0038650,1946,2h 10m,PG,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.6,479K,https://www.imdb.com/title/tt0038650,
22,Shichinin no samurai,tt0047478,1954,3h 27m,Not Rated,"https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UY207_CR4,0,140,207_.jpg",8.6,358K,https://www.imdb.com/title/tt0047478,159
23,The Silence of the Lambs,tt0102926,1991,1h 58m,R,"https://m.media-amazon.com/images/M/MV5BZmFiMmU3YmYtNzFlMC00YThkLWEyNmMtY2JiNGE1MjdlZWNlXkEyXkFqcGdeQXVyNTk4MTA5OTg@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.6,1.5M,https://www.imdb.com/title/tt0102926,77
24,Interstellar,tt0816692,2014,2h 49m,PG-13,"https://m.media-amazon.com/images/M/MV5BNjJmZWU0NTctYmExOC00YmY1LThjM2ItNGQwYzUyZTk2ZDZjXkEyXkFqcGdeQXVyNTk4MTA5OTg@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.7,2M,https://www.imdb.com/title/tt0816692,8
25,Saving Private Ryan,tt0120815,1998,2h 49m,R,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.6,1.4M,https://www.imdb.com/title/tt0120815,73
26,Cidade de Deus,tt0317248,2002,2h 10m,R,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.6,781K,https://www.imdb.com/title/tt0317248,171
27,La vita è bella,tt0118799,1997,1h 56m,PG-13,"https://m.media-amazon.com/images/M/MV5BOTY2NDJmZGYtZWExZS00OWYwLTlmODktODE0YTAzZjBhYmZjXkEyXkFqcGdeQXVyNTk4MTA5OTg@._V1_QL75_UY207_CR4,0,140,207_.jpg",8.6,722K,https://www.imdb.com/title/tt0118799,7
28,The Green Mile,tt0120689,1999,3h 9m,R,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX140_CR0,0,140,207_.jpg",8.6,1.4M,https://www.imdb.com/title/tt0120689,177
29,Star Wars,tt0076759,1977,2h 1m,PG,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX140_CR0,3,140,207_.jpg",8.6,1.4M,https://www.imdb.com/title/tt0076759,
30,Terminator 2: Judgment Day,tt0103064,1991,2h 17m,R,"https://m.media-amazon.com/images/M/MV5BYTA3NGVlMmQtNzkzOC00ODI5LTgzMzgtMTgwMmI2ZWM1M2NjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY207_CR3,0,140,207_.jpg",8.6,1.1M,https://www.imdb.com/title/tt0103064,215
31,Back to the Future,tt0088763,1985,1h 56m,(Banned),"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,5,140,207_.jpg",8.5,1.3M,https://www.imdb.com/title/tt0088763,
32,Sen to Chihiro no kamikakushi,tt0245429,2001,2h 5m,PG,"https://m.media-amazon.com/images/M/MV5BNzFiMDcxMzEtYzJmMS00MTQ4LTk0NTItMjE5MmYwM2EyY2Y1XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_QL75_UY207_CR4,0,140,207_.jpg",8.6,809K,https://www.imdb.com/title/tt0245429,6
33,The Pianist,tt0253474,2002,2h 30m,R,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR5,0,140,207_.jpg",8.5,877K,https://www.imdb.com/title/tt0253474,47
34,Psycho,tt0054215,1960,1h 49m,R,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,698K,https://www.imdb.com/title/tt0054215,161
35,Gisaengchung,tt6751668,2019,2h 12m,R,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,887K,https://www.imdb.com/title/tt6751668,124
36,Gladiator,tt0172495,2000,2h 35m,R,"https://m.media-amazon.com/images/M/MV5BNWViMDUzOGQtYWVjMS00NjlkLThmNTMtYTJjNzI1YzZiYzI4XkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,1.6M,https://www.imdb.com/title/tt0172495,
